,,,,,,,
,リスト内の単語について補足,,,,,,リスト内の簡易検索機能（シートを入力した単語で検索）
,"・プロファイル・・・もちふぃった～でアバターの対応衣装を変換する際に必須となるデータ
,97,藍子さん AIKOSAN,NEKOKAREYA,"共通素体 Kuminbody用プロファイル
Boothにて配布中",https://nekokaerya.booth.pm/items/7643644,順方向のみ対応,
,98,アザミさん AZAMISAN,,,,,
,99,ユーネ,イルファ商店街,,,,
,100,ベニちゃん,イルファ商店街,Boothにて配布中,https://teicifer9999.booth.pm/items/7631172,両方向対応,
,101,ガヴ,はてな商店はなぞの店,"共通素体用プロファイル
Boothにて配布中",https://booth.pm/ja/items/7663206,順方向のみ対応,
,102,ネム,,,,,
,103,ラウラ,,,,,
,104,プティシラ,,,,,
,105,シィル-Ciel-,りすきーしょっぷ,Boothにて配布リンクあり,https://rikyuvrc.booth.pm/items/5600327,※順方向のみ対応,
,106,るぅ-Ruu-,,,https://rikyuvrc.booth.pm/items/5767548,※順方向のみ対応,
,107,リリシア-Lilithia-,,,https://rikyuvrc.booth.pm/items/7003322,※順方向のみ対応,
,108,くじらのくぅ-Kuu-,,,https://rikyuvrc.booth.pm/items/7572400,※順方向のみ対応,
,109,すずね -Suzune-,WILGINIABOX,アバター購入履歴よりDL,,※順方向のみ対応,
,110,エルノア -Ernoah-,,,,※順方向のみ対応,
,111,メフィー -Mephie-,,,,※順方向のみ対応,
,112,凪羽 -Nagiha-,,,,※順方向のみ対応,
,113,あずき,狐の迷い宿,Boothにて配布中,https://kitsune-tsuki.booth.pm/items/2472916,※順方向のみ対応,アバター販売ページにてプロファイルDL
,114,右近弐式,,,https://kitsune-tsuki.booth.pm/items/4839004,※順方向のみ対応,アバター販売ページにてプロファイルDL
,115,ちび右近,,,https://kitsune-tsuki.booth.pm/items/5558366,※順方向のみ対応,アバター販売ページにてプロファイルDL
,116,ファルムナ / Falmna,BRCL BOOTH,アバター購入履歴よりDL,,※順方向のみ対応,
,117,キャティーア / Catiea,,,,※順方向のみ対応,
,118,アルドナ / Aldona,,,,※順方向のみ対応,
,119,ルナール - Renard -,ナナツキ.Studio,"共通素体 7sBody用プロファイル
Boothにて配布中",https://studio7tsuki.booth.pm/items/5685692,両方向対応,"7sBodyから変換する際、胸周りのポリゴン数やボーンの関係上
破綻回避が難しいので各自でPBをOFFにしたりメッシュ削除が必要との事"
,120,シュカ - Choucas -,,,,,
,121,アズ＆ラピ - Hase&Lapi -,,,,,
,122,リーベマリーネ,まきまき堂,アバター購入履歴よりDL,,順方向のみ対応,
,123,リーベアーテル,,,,順方向のみ対応,
,124,リーベルプス,,,,順方向のみ対応,
,125,アマロ,Senna Studio,アバター購入履歴よりDL,,※順方向のみ対応,
,126,エイラ,,,,※順方向のみ対応,
,127,ポワン,,,,※順方向のみ対応,
,128,INABA,ゴールデン商会,Boothにて配布中,https://goldentakasan.booth.pm/items/4213786,順方向のみ対応,
